,name,variation,accuracy_overall,accuracy_train,accuracy_test,accuracy_val,fit_time,model_config,column_count
0,k-Nearest Neighbour,no_linked,0.6681957186544343,1.0,0.6559633027522935,0.6804281345565749,6.838639338811238,"KNeighborsClassifier(n_neighbors=20, weights='distance')",4698
1,Guassian Naive Bayes,no_linked,0.3761467889908257,0.6807673389080177,0.4036697247706422,0.3486238532110092,0.44330716133117676,GaussianNB(),4698
2,Multinominal Naive Bayes,no_linked,0.6597859327217126,0.7916051811772422,0.6551987767584098,0.6643730886850153,0.0598912239074707,MultinomialNB(),4698
3,Decision Tree,no_linked,0.6639908256880733,0.6679783571077226,0.6551987767584098,0.672782874617737,0.4099133014678955,"DecisionTreeClassifier(criterion='entropy', max_depth=5, splitter='random')",4698
4,Support Vector Machine (classifier),no_linked,0.6628440366972477,0.9544187571733072,0.6613149847094801,0.6643730886850153,73.1220559279124,"SVC(class_weight='balanced', kernel='poly', probability=True)",4698
5,Stochastic Gradient Descent,no_linked,0.6620795107033639,0.6606000983767831,0.6521406727828746,0.6720183486238532,0.042009989420572914,"SGDClassifier(alpha=0.05, eta0=100.0, learning_rate='adaptive',
              loss='modified_huber')",4698
6,Multi-layer Perceptron,no_linked,0.613914373088685,0.882275782915232,0.6077981651376146,0.6200305810397554,0.11667235692342122,"MLPClassifier(alpha=0.05, max_iter=1000, solver='sgd')",4698
7,k-Nearest Neighbour,summary,0.6681957186544343,1.0,0.6559633027522935,0.6804281345565749,5.391642093658447,"KNeighborsClassifier(n_neighbors=20, weights='distance')",4700
8,Guassian Naive Bayes,summary,0.3761467889908257,0.6807673389080177,0.4036697247706422,0.3486238532110092,0.44196033477783203,GaussianNB(),4700
9,Multinominal Naive Bayes,summary,0.6601681957186545,0.7907853746515823,0.6559633027522935,0.6643730886850153,0.06275701522827148,MultinomialNB(),4700
10,Decision Tree,summary,0.665137614678899,0.6710936219052304,0.6597859327217125,0.6704892966360856,0.3954634666442871,"DecisionTreeClassifier(criterion='entropy', max_depth=5, splitter='random')",4700
11,Support Vector Machine (classifier),summary,0.6632262996941896,0.9547466797835711,0.6620795107033639,0.6643730886850153,70.48898808161418,"SVC(class_weight='balanced', kernel='poly', probability=True)",4700
12,Stochastic Gradient Descent,summary,0.6620795107033639,0.660436137071651,0.6521406727828746,0.6720183486238532,0.042466322580973305,"SGDClassifier(alpha=0.05, eta0=100.0, loss='squared_hinge')",4700
13,Multi-layer Perceptron,summary,0.6326452599388379,0.8942449581898672,0.6368501529051988,0.6284403669724771,0.21737957000732422,"MLPClassifier(max_iter=1000, solver='sgd')",4700
14,k-Nearest Neighbour,description,0.6605902777777778,1.0,0.6527777777777778,0.6684027777777778,22.440128723780315,"KNeighborsClassifier(n_neighbors=16, weights='distance')",18333
15,Guassian Naive Bayes,description,0.4418402777777778,0.7855148017129027,0.4244791666666667,0.4592013888888889,1.5844628810882568,GaussianNB(),18333
16,Multinominal Naive Bayes,description,0.6558159722222222,0.7894246881400112,0.6493055555555556,0.6623263888888888,0.18137216567993164,MultinomialNB(),18333
17,Decision Tree,description,0.6558159722222222,0.6760379817538633,0.6510416666666666,0.6605902777777778,1.292372703552246,"DecisionTreeClassifier(criterion='entropy', max_depth=5, splitter='random')",18333
18,Support Vector Machine (classifier),description,0.6631944444444444,0.7974306460621858,0.6545138888888888,0.671875,142.0131548245748,SVC(probability=True),18333
19,Stochastic Gradient Descent,description,0.6532118055555556,0.6730590206665426,0.6493055555555556,0.6571180555555556,0.1614692211151123,"SGDClassifier(alpha=0.05, eta0=100.0, loss='squared_hinge')",18333
20,Multi-layer Perceptron,description,0.6349826388888888,0.9428411841370322,0.6241319444444444,0.6458333333333334,0.29163257280985516,"MLPClassifier(alpha=0.05, learning_rate='adaptive', max_iter=1000, solver='sgd')",18333
21,k-Nearest Neighbour,summary_and_desc,0.6579861111111112,1.0,0.6527777777777778,0.6631944444444444,27.78847074508667,"KNeighborsClassifier(n_neighbors=15, weights='distance')",22851
22,Guassian Naive Bayes,summary_and_desc,0.5277777777777778,0.8998324334388382,0.4965277777777778,0.5590277777777778,1.9889068603515625,GaussianNB(),22851
23,Multinominal Naive Bayes,summary_and_desc,0.66015625,0.8288959225470117,0.6527777777777778,0.6675347222222222,0.21223688125610352,MultinomialNB(),22851
24,Decision Tree,summary_and_desc,0.65625,0.6743623161422454,0.6458333333333334,0.6666666666666666,1.6803867816925049,"DecisionTreeClassifier(criterion='entropy', max_depth=5, splitter='random')",22851
25,Support Vector Machine (classifier),summary_and_desc,0.6675347222222223,0.8326196239061627,0.6579861111111112,0.6770833333333334,175.47412514686584,SVC(probability=True),22851
26,Stochastic Gradient Descent,summary_and_desc,0.6532118055555556,0.6758517966859058,0.6501736111111112,0.65625,0.17520745595296225,"SGDClassifier(alpha=0.05, eta0=100.0, learning_rate='adaptive',
              loss='modified_huber')",22851
27,Multi-layer Perceptron,summary_and_desc,0.6319444444444444,0.9919940420778254,0.6189236111111112,0.6449652777777778,0.8037260373433431,"MLPClassifier(max_iter=1000, solver='sgd')",22851
