,name,variation,accuracy_overall,accuracy_train,accuracy_test,accuracy_val,fit_time,model_config,column_count
0,k-Nearest Neighbour,no_linked,0.6479357798165137,0.9939334317101164,0.6437308868501529,0.6521406727828746,0.372666597366333,"KNeighborsClassifier(n_neighbors=19, weights='distance')",21
1,Guassian Naive Bayes,no_linked,0.6032110091743119,0.6102639777012625,0.5970948012232415,0.6093272171253823,0.0039997100830078125,GaussianNB(),21
2,Multinominal Naive Bayes,no_linked,0.6578746177370031,0.6574848335792753,0.6498470948012233,0.6659021406727829,0.00699925422668457,MultinomialNB(),21
3,Decision Tree,no_linked,0.6597859327217126,0.6655189375307428,0.6513761467889908,0.6681957186544343,0.004998683929443359,"DecisionTreeClassifier(criterion='entropy', max_depth=5, splitter='random')",21
4,Support Vector Machine (classifier),no_linked,0.6563455657492354,0.661911788817839,0.6475535168195719,0.6651376146788991,0.21233256657918295,"SVC(kernel='poly', probability=True)",21
5,Stochastic Gradient Descent,no_linked,0.6571100917431193,0.6576487948844073,0.6490825688073395,0.6651376146788991,0.001669009526570638,"SGDClassifier(alpha=1e-05, eta0=100.0, learning_rate='adaptive', loss='log')",21
6,Multi-layer Perceptron,no_linked,0.6578746177370031,0.6576487948844073,0.6498470948012233,0.6659021406727829,0.007332404454549153,"MLPClassifier(activation='tanh', alpha=0.05, learning_rate='adaptive',
              max_iter=1000)",21
7,k-Nearest Neighbour,summary,0.6571100917431193,0.9977045417281521,0.6536697247706422,0.6605504587155964,0.3746686776479085,"KNeighborsClassifier(n_neighbors=19, weights='distance')",23
8,Guassian Naive Bayes,summary,0.6070336391437309,0.6148548942449582,0.6001529051987767,0.613914373088685,0.004999876022338867,GaussianNB(),23
9,Multinominal Naive Bayes,summary,0.6578746177370031,0.6574848335792753,0.6498470948012233,0.6659021406727829,0.007999897003173828,MultinomialNB(),23
10,Decision Tree,summary,0.6548165137614679,0.6614199049024431,0.6460244648318043,0.6636085626911316,0.00599980354309082,"DecisionTreeClassifier(criterion='entropy', max_depth=5, splitter='random')",23
11,Support Vector Machine (classifier),summary,0.6559633027522935,0.6607640596819151,0.6498470948012233,0.6620795107033639,0.21466763814290366,"SVC(kernel='poly', probability=True)",23
12,Stochastic Gradient Descent,summary,0.6574923547400611,0.6579767174946712,0.6483180428134556,0.6666666666666666,0.0016690889994303386,"SGDClassifier(alpha=1e-05, eta0=100.0, learning_rate='adaptive', loss='log')",23
13,Multi-layer Perceptron,summary,0.6578746177370031,0.6579767174946712,0.6490825688073395,0.6666666666666666,0.007335344950358073,"MLPClassifier(activation='tanh', learning_rate='adaptive', max_iter=1000)",23
14,k-Nearest Neighbour,description,0.6510416666666667,0.9960901135728915,0.6423611111111112,0.6597222222222222,0.2140014966328939,"KNeighborsClassifier(n_neighbors=20, weights='distance')",23
15,Guassian Naive Bayes,description,0.5802951388888888,0.6080804319493577,0.5607638888888888,0.5998263888888888,0.0039997100830078125,GaussianNB(),23
16,Multinominal Naive Bayes,description,0.6480034722222222,0.659653695773599,0.6414930555555556,0.6545138888888888,0.008999824523925781,MultinomialNB(),23
17,Decision Tree,description,0.6527777777777778,0.6663563582200708,0.6414930555555556,0.6640625,0.005000591278076172,"DecisionTreeClassifier(criterion='entropy', max_depth=5, splitter='random')",23
18,Support Vector Machine (classifier),description,0.6558159722222222,0.6639359523366226,0.6475694444444444,0.6640625,0.6199990113576254,SVC(probability=True),23
19,Stochastic Gradient Descent,description,0.65234375,0.6607708061813442,0.6458333333333334,0.6588541666666666,0.0020006497701009116,"SGDClassifier(alpha=1e-05, eta0=100.0, loss='huber', penalty='elasticnet')",23
20,Multi-layer Perceptron,description,0.6527777777777777,0.6607708061813442,0.6467013888888888,0.6588541666666666,0.006328900655110677,"MLPClassifier(activation='tanh', max_iter=1000)",23
21,k-Nearest Neighbour,summary_and_desc,0.6527777777777778,0.9985105194563396,0.6527777777777778,0.6527777777777778,0.20600128173828125,"KNeighborsClassifier(n_neighbors=20, weights='distance')",33
22,Guassian Naive Bayes,summary_and_desc,0.5677083333333334,0.588530999813815,0.5633680555555556,0.5720486111111112,0.004999637603759766,GaussianNB(),33
23,Multinominal Naive Bayes,summary_and_desc,0.65234375,0.6602122509774716,0.6458333333333334,0.6588541666666666,0.0069997310638427734,MultinomialNB(),33
24,Decision Tree,summary_and_desc,0.6575520833333333,0.669149134239434,0.6475694444444444,0.6675347222222222,0.0060002803802490234,"DecisionTreeClassifier(criterion='entropy', max_depth=5, splitter='random')",33
25,Support Vector Machine (classifier),summary_and_desc,0.6566840277777778,0.6704524297151369,0.6493055555555556,0.6640625,0.192000945409139,"SVC(kernel='poly', probability=True)",33
26,Stochastic Gradient Descent,summary_and_desc,0.6532118055555556,0.6626326568609198,0.6467013888888888,0.6597222222222222,0.001331329345703125,"SGDClassifier(alpha=1e-05, eta0=100.0, learning_rate='adaptive', loss='log',
              penalty='l1')",33
27,Multi-layer Perceptron,summary_and_desc,0.6527777777777778,0.6646806926084528,0.6458333333333334,0.6597222222222222,0.008663098017374674,"MLPClassifier(activation='tanh', alpha=0.05, max_iter=1000)",33
